"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"	0.00157565979291251	2	"GOStats"	"enrichment"
"LV"	"GO:0006891"	"intra-Golgi vesicle-mediated transport"	0.00278693994419398	2	"GOStats"	"enrichment"
"LV"	"GO:0006892"	"post-Golgi vesicle-mediated transport"	0.00532727137926291	4	"GOStats"	"enrichment"
"LV"	"GO:0006893"	"Golgi to plasma membrane transport"	0.00122168898232	3	"GOStats"	"enrichment"
"LV"	"GO:0006896"	"Golgi to vacuole transport"	0.00891591841476823	1	"GOStats"	"enrichment"
"LV"	"GO:0006897"	"endocytosis"	0.00270026469830361	1	"GOStats"	"enrichment"
"LV"	"GO:0006898"	"receptor-mediated endocytosis"	0.00748960816206737	1	"GOStats"	"enrichment"
"LV"	"GO:0006904"	"vesicle docking involved in exocytosis"	0.00261154821059623	1	"GOStats"	"enrichment"
"LV"	"GO:0006906"	"vesicle fusion"	0.00371583150079597	5	"GOStats"	"enrichment"
"LV"	"GO:0006913"	"nucleocytoplasmic transport"	0.00160937507711632	2	"GOStats"	"enrichment"
"LV"	"GO:0006914"	"autophagy"	0.00372366218420923	2	"GOStats"	"enrichment"
"LV"	"GO:0006919"	"activation of cysteine-type endopeptidase activity involved in apoptotic process"	0.00526712737605465	1	"GOStats"	"enrichment"
"LV"	"GO:0006974"	"cellular response to DNA damage stimulus"	0.00412544323557163	3	"GOStats"	"enrichment"
"LV"	"GO:0006986"	"response to unfolded protein"	0.00472285770236089	1	"GOStats"	"enrichment"
"LV"	"GO:0006996"	"organelle organization"	0.00192284344115938	6	"GOStats"	"enrichment"
"LV"	"GO:0006997"	"nucleus organization"	0.00924708830909131	1	"GOStats"	"enrichment"
"LV"	"GO:0007017"	"microtubule-based process"	0.00483872244007025	1	"GOStats"	"enrichment"
"LV"	"GO:0007018"	"microtubule-based movement"	0.000565402951850948	1	"GOStats"	"enrichment"
"LV"	"GO:0007020"	"microtubule nucleation"	0.00104991514279456	2	"GOStats"	"enrichment"
"LV"	"GO:0007021"	"tubulin complex assembly"	0.00363803254439413	1	"GOStats"	"enrichment"
"LV"	"GO:0007030"	"Golgi organization"	0.000167969320365459	1	"GOStats"	"enrichment"
"LV"	"GO:0007031"	"peroxisome organization"	0.00853260760035947	1	"GOStats"	"enrichment"
"LV"	"GO:0007034"	"vacuolar transport"	0.00536300099164734	5	"GOStats"	"enrichment"
"LV"	"GO:0007049"	"cell cycle"	0.000510186733687585	1	"GOStats"	"enrichment"
"LV"	"GO:0007052"	"mitotic spindle organization"	0.00472518351026803	2	"GOStats"	"enrichment"
"LV"	"GO:0007062"	"sister chromatid cohesion"	0.00603376329176116	3	"GOStats"	"enrichment"
"LV"	"GO:0007088"	"regulation of mitotic nuclear division"	0.00713256089215394	1	"GOStats"	"enrichment"
"LV"	"GO:0007093"	"mitotic cell cycle checkpoint"	0.00357768300445282	1	"GOStats"	"enrichment"
"LV"	"GO:0007094"	"mitotic spindle assembly checkpoint"	0.00571290058394219	1	"GOStats"	"enrichment"
"LV"	"GO:0007097"	"nuclear migration"	0.00906661315951483	1	"GOStats"	"enrichment"
"LV"	"GO:0007100"	"mitotic centrosome separation"	0.0062395602113087	2	"GOStats"	"enrichment"
"LV"	"GO:0007163"	"establishment or maintenance of cell polarity"	0.00284262300109044	1	"GOStats"	"enrichment"
"LV"	"GO:0007216"	"G protein-coupled glutamate receptor signaling pathway"	0.00932051994037624	1	"GOStats"	"enrichment"
"LV"	"GO:0007218"	"neuropeptide signaling pathway"	0.000648805602607443	1	"GOStats"	"enrichment"
"LV"	"GO:0007220"	"Notch receptor processing"	0.00606721408159728	1	"GOStats"	"enrichment"
"LV"	"GO:0007229"	"integrin-mediated signaling pathway"	0.00197049038511871	1	"GOStats"	"enrichment"
"LV"	"GO:0007268"	"chemical synaptic transmission"	0.00331837666479461	2	"GOStats"	"enrichment"
"LV"	"GO:0007269"	"neurotransmitter secretion"	0.000991603703058787	1	"GOStats"	"enrichment"
"LV"	"GO:0007271"	"synaptic transmission, cholinergic"	0.00689383507838655	1	"GOStats"	"enrichment"
"LV"	"GO:0007272"	"ensheathment of neurons"	0.00528931841938593	1	"GOStats"	"enrichment"
"LV"	"GO:0007275"	"multicellular organism development"	0.00880008529954138	1	"GOStats"	"enrichment"
"LV"	"GO:0007346"	"regulation of mitotic cell cycle"	0.00403673199403511	1	"GOStats"	"enrichment"
