Gene name	Gene stable ID	Gene type
	ENSLOCG00000000334	protein_coding
	ENSLOCG00000000335	protein_coding
	ENSLOCG00000000336	protein_coding
	ENSLOCG00000000337	protein_coding
AVPR2	ENSLOCG00000000338	protein_coding
	ENSLOCG00000000339	protein_coding
	ENSLOCG00000000340	protein_coding
lrrc4bb	ENSLOCG00000000341	protein_coding
	ENSLOCG00000000342	protein_coding
	ENSLOCG00000000343	protein_coding
	ENSLOCG00000000344	protein_coding
	ENSLOCG00000000345	protein_coding
	ENSLOCG00000000346	protein_coding
	ENSLOCG00000000347	protein_coding
	ENSLOCG00000000348	protein_coding
vta1	ENSLOCG00000000349	protein_coding
	ENSLOCG00000000350	protein_coding
	ENSLOCG00000000351	protein_coding
	ENSLOCG00000000352	protein_coding
zbtb8a	ENSLOCG00000000353	protein_coding
	ENSLOCG00000000354	protein_coding
	ENSLOCG00000000355	protein_coding
atp5f1d	ENSLOCG00000000356	protein_coding
LHX1	ENSLOCG00000000357	protein_coding
	ENSLOCG00000000358	protein_coding
	ENSLOCG00000000359	protein_coding
	ENSLOCG00000000360	protein_coding
	ENSLOCG00000000361	protein_coding
SLC39A3	ENSLOCG00000000362	protein_coding
	ENSLOCG00000000363	protein_coding
	ENSLOCG00000000364	protein_coding
	ENSLOCG00000000365	protein_coding
	ENSLOCG00000000366	protein_coding
	ENSLOCG00000000367	protein_coding
	ENSLOCG00000000368	protein_coding
	ENSLOCG00000000369	protein_coding
	ENSLOCG00000000370	protein_coding
	ENSLOCG00000000371	protein_coding
VSTM2A	ENSLOCG00000000372	protein_coding
	ENSLOCG00000000373	protein_coding
	ENSLOCG00000000374	protein_coding
	ENSLOCG00000000375	protein_coding
si:ch211-193k19.1	ENSLOCG00000000376	protein_coding
	ENSLOCG00000000377	protein_coding
irf7	ENSLOCG00000000378	protein_coding
	ENSLOCG00000000379	protein_coding
hsph1	ENSLOCG00000000380	protein_coding
	ENSLOCG00000000381	protein_coding
lcat	ENSLOCG00000000382	protein_coding
	ENSLOCG00000000383	protein_coding
lrrc39	ENSLOCG00000000384	protein_coding
	ENSLOCG00000000385	protein_coding
	ENSLOCG00000000386	protein_coding
	ENSLOCG00000000387	protein_coding
	ENSLOCG00000000388	protein_coding
ARCN1	ENSLOCG00000000389	protein_coding
	ENSLOCG00000000390	protein_coding
	ENSLOCG00000000391	protein_coding
olfm1a	ENSLOCG00000000392	protein_coding
	ENSLOCG00000000393	protein_coding
sgta	ENSLOCG00000000394	protein_coding
	ENSLOCG00000000395	protein_coding
	ENSLOCG00000000396	protein_coding
	ENSLOCG00000000397	protein_coding
	ENSLOCG00000000398	protein_coding
	ENSLOCG00000000399	protein_coding
	ENSLOCG00000000400	protein_coding
	ENSLOCG00000000401	protein_coding
	ENSLOCG00000000402	protein_coding
	ENSLOCG00000000403	protein_coding
aldh3b2	ENSLOCG00000000404	protein_coding
	ENSLOCG00000000405	protein_coding
	ENSLOCG00000000406	protein_coding
myrf	ENSLOCG00000000407	protein_coding
ntrk1	ENSLOCG00000000408	protein_coding
	ENSLOCG00000000409	protein_coding
tspan4a	ENSLOCG00000000410	protein_coding
	ENSLOCG00000000411	protein_coding
avil	ENSLOCG00000000412	protein_coding
klf6a	ENSLOCG00000000413	protein_coding
	ENSLOCG00000000414	protein_coding
	ENSLOCG00000000415	protein_coding
	ENSLOCG00000000416	protein_coding
	ENSLOCG00000000417	protein_coding
trmt13	ENSLOCG00000000418	protein_coding
pla2g15	ENSLOCG00000000419	protein_coding
grin1a	ENSLOCG00000000420	protein_coding
	ENSLOCG00000000421	protein_coding
b3glcta	ENSLOCG00000000422	protein_coding
	ENSLOCG00000000423	protein_coding
	ENSLOCG00000000424	protein_coding
si:dkeyp-7a3.1	ENSLOCG00000000425	protein_coding
	ENSLOCG00000000426	protein_coding
	ENSLOCG00000000427	protein_coding
pbx2	ENSLOCG00000000428	protein_coding
adgrg6	ENSLOCG00000000429	protein_coding
	ENSLOCG00000000430	protein_coding
	ENSLOCG00000000431	protein_coding
ttc14	ENSLOCG00000000432	protein_coding
	ENSLOCG00000000433	protein_coding
	ENSLOCG00000000434	protein_coding
	ENSLOCG00000000435	protein_coding
	ENSLOCG00000000436	protein_coding
	ENSLOCG00000000437	protein_coding
ascl1b	ENSLOCG00000000438	protein_coding
	ENSLOCG00000000439	protein_coding
MAF	ENSLOCG00000000440	protein_coding
	ENSLOCG00000000441	protein_coding
	ENSLOCG00000000442	protein_coding
	ENSLOCG00000000443	pseudogene
	ENSLOCG00000000444	protein_coding
	ENSLOCG00000000445	protein_coding
	ENSLOCG00000000446	protein_coding
	ENSLOCG00000000447	protein_coding
	ENSLOCG00000000448	protein_coding
	ENSLOCG00000000449	protein_coding
	ENSLOCG00000000450	protein_coding
	ENSLOCG00000000451	protein_coding
tmem59l	ENSLOCG00000000452	protein_coding
	ENSLOCG00000000453	protein_coding
pfdn6	ENSLOCG00000000454	protein_coding
mkrn4	ENSLOCG00000000455	protein_coding
	ENSLOCG00000000456	protein_coding
